id,n_particles,dims,period,energy,c,mismatch,max_floquet,cz_index,cz_upper,stability_type,converged,newton_iters,q0,p0,notes
circ_E-0.10,2,2,49.672941,-0.100000,1.0000,1.087e-12,1.000000,3,3,elliptic,true,2,-2.4999999986;0.0000000607;2.4999999986;-0.0000000607,-0.0000000077;-0.3162277656;0.0000000077;0.3162277656,
ccont_E-0.25_c100.000,2,2,12.566371,-0.250000,100.0000,2.543e-13,1.001113,1,1,elliptic,true,2,-0.9999999978;0.0000000393;0.9999999978;-0.0000000393,-0.0000000196;-0.4999999976;0.0000000196;0.4999999976,
ccont_E-0.25_c50.000,2,2,12.566371,-0.250000,50.0000,2.336e-13,1.000000,2,2,elliptic,true,1,-0.9999999978;0.0000000393;0.9999999978;-0.0000000393,-0.0000000196;-0.4999999976;0.0000000196;0.4999999976,
ccont_E-0.25_c20.000,2,2,12.566371,-0.250000,20.0000,1.378e-13,1.000921,2,2,elliptic,true,1,-0.9999999978;0.0000000393;0.9999999978;-0.0000000393,-0.0000000196;-0.4999999976;0.0000000196;0.4999999976,
ccont_E-0.25_c10.000,2,2,12.566371,-0.250000,10.0000,5.734e-13,1.000755,2,2,elliptic,true,1,-0.9999999978;0.0000000393;0.9999999978;-0.0000000393,-0.0000000196;-0.4999999976;0.0000000196;0.4999999976,
ccont_E-0.25_c5.000,2,2,12.566371,-0.250000,5.0000,2.462e-12,1.001331,2,2,elliptic,true,1,-0.9999999978;0.0000000393;0.9999999978;-0.0000000393,-0.0000000196;-0.4999999976;0.0000000196;0.4999999976,
ccont_E-0.25_c2.000,2,2,12.566371,-0.250000,2.0000,1.405e-11,1.000000,2,2,elliptic,true,1,-0.9999999978;0.0000000393;0.9999999978;-0.0000000393,-0.0000000196;-0.4999999976;0.0000000196;0.4999999976,
ccont_E-0.25_c1.000,2,2,12.566371,-0.250000,1.0000,5.613e-11,1.000000,3,3,elliptic,true,1,-0.9999999978;0.0000000393;0.9999999978;-0.0000000393,-0.0000000196;-0.4999999976;0.0000000196;0.4999999976,
ccont_E-0.25_c0.500,2,2,12.566371,-0.250000,0.5000,4.753e-11,1.001167,2,2,elliptic,true,1,-0.9999999978;0.0000000393;0.9999999978;-0.0000000393,-0.0000000196;-0.4999999976;0.0000000196;0.4999999976,
ccont_E-0.50_c100.000,2,2,4.442883,-0.500000,100.0000,6.448e-12,1.000666,2,2,elliptic,true,2,-0.4999999914;0.0000002589;0.4999999914;-0.0000002589,-0.0000003663;-0.7071067541;0.0000003663;0.7071067541,
ccont_E-0.50_c50.000,2,2,4.442883,-0.500000,50.0000,6.962e-12,1.000980,2,2,elliptic,true,1,-0.4999999914;0.0000002589;0.4999999914;-0.0000002589,-0.0000003663;-0.7071067541;0.0000003663;0.7071067541,
ccont_E-0.50_c20.000,2,2,4.442883,-0.500000,20.0000,9.783e-12,1.000035,2,2,elliptic,true,1,-0.4999999914;0.0000002589;0.4999999914;-0.0000002589,-0.0000003663;-0.7071067541;0.0000003663;0.7071067541,
ccont_E-0.50_c10.000,2,2,4.442883,-0.500000,10.0000,2.168e-11,1.001013,3,3,elliptic,true,1,-0.4999999914;0.0000002589;0.4999999914;-0.0000002589,-0.0000003663;-0.7071067541;0.0000003663;0.7071067541,
ccont_E-0.50_c5.000,2,2,4.442883,-0.500000,5.0000,7.203e-11,1.000171,2,2,elliptic,true,1,-0.4999999914;0.0000002589;0.4999999914;-0.0000002589,-0.0000003663;-0.7071067541;0.0000003663;0.7071067541,
ccont_E-0.50_c2.000,2,2,4.442883,-0.500000,2.0000,3.905e-10,1.000005,2,2,elliptic,true,1,-0.4999999914;0.0000002589;0.4999999914;-0.0000002589,-0.0000003663;-0.7071067541;0.0000003663;0.7071067541,
ccont_E-0.50_c1.000,2,2,4.442883,-0.500000,1.0000,4.971e-10,1.000022,2,2,elliptic,true,1,-0.4999999914;0.0000002589;0.4999999914;-0.0000002589,-0.0000003663;-0.7071067541;0.0000003663;0.7071067541,
ccont_E-0.50_c0.500,2,2,4.442883,-0.500000,0.5000,6.343e-12,1.001046,2,2,elliptic,true,1,-0.4999999914;0.0000002589;0.4999999914;-0.0000002589,-0.0000003663;-0.7071067541;0.0000003663;0.7071067541,
ccont_E-1.00_c100.000,2,2,1.570796,-1.000001,100.0000,4.985e-10,1.000002,2,2,elliptic,true,2,-0.2499999663;0.0000010466;0.2499999663;-0.0000010466,-0.0000041860;-0.9999996904;0.0000041860;0.9999996904,
ccont_E-1.00_c50.000,2,2,1.570796,-1.000001,50.0000,5.220e-10,1.001683,2,2,elliptic,true,1,-0.2499999663;0.0000010466;0.2499999663;-0.0000010466,-0.0000041860;-0.9999996904;0.0000041860;0.9999996904,
ccont_E-1.00_c20.000,2,2,1.570796,-1.000001,20.0000,6.884e-10,1.000000,2,2,elliptic,true,1,-0.2499999663;0.0000010466;0.2499999663;-0.0000010466,-0.0000041860;-0.9999996904;0.0000041860;0.9999996904,
ccont_E-1.00_c10.000,2,2,1.570796,-1.000001,10.0000,1.270e-09,1.001925,2,2,elliptic,true,1,-0.2499999663;0.0000010466;0.2499999663;-0.0000010466,-0.0000041860;-0.9999996904;0.0000041860;0.9999996904,
ccont_E-1.00_c5.000,2,2,1.570796,-1.000001,5.0000,3.343e-09,1.001903,2,2,elliptic,true,1,-0.2499999663;0.0000010466;0.2499999663;-0.0000010466,-0.0000041860;-0.9999996904;0.0000041860;0.9999996904,
ccont_E-1.00_c2.000,2,2,1.570796,-1.000001,2.0000,4.830e-13,1.000449,1,1,elliptic,true,2,-0.2499999653;0.0000011035;0.2499999653;-0.0000009082,-0.0000040234;-0.9999996945;0.0000040234;0.9999996945,
ccont_E-1.00_c1.000,2,2,1.570796,-1.000001,1.0000,1.901e-12,1.000703,2,2,elliptic,true,1,-0.2499999653;0.0000011035;0.2499999653;-0.0000009082,-0.0000040234;-0.9999996945;0.0000040234;0.9999996945,
ccont_E-1.00_c0.500,2,2,1.570796,-1.000001,0.5000,5.428e-12,1.001379,2,2,elliptic,true,1,-0.2499999653;0.0000011035;0.2499999653;-0.0000009082,-0.0000040234;-0.9999996945;0.0000040234;0.9999996945,
