id,category,config,charges,masses,c,eta,side_or_sep,bounce_r,tmax,dt,retcode,n_steps,t_final,E_drift_pct,bound,max_r,min_r,brake_idx,brake_period,notes
12,2+1-,equi_rot_s3.0_eta0.25,[+1+1-1],[1 1 1],4.0000,0.2500,3.0000,0.0000,50.0,1.0e-03,Success,50001,50.0000,0.769386,false,43.866232,0.096397,0,NaN,
13,2+1-,equi_rot_s1.0_eta0.5,[+1+1-1],[1 1 1],1.0000,0.5000,1.0000,0.0000,50.0,1.0e-03,Failure,662,0.6610,140.335277,false,1.083441,0.062046,0,NaN,
14,2+1-,equi_rot_s1.0_eta0.5,[+1+1-1],[1 1 1],4.0000,0.5000,1.0000,0.0000,50.0,1.0e-03,Failure,810,0.8090,4.663989,false,1.293750,0.032327,0,NaN,
15,2+1-,equi_rot_s2.0_eta0.5,[+1+1-1],[1 1 1],1.0000,0.5000,2.0000,0.0000,50.0,1.0e-03,Failure,1632,1.6310,206.245974,false,2.000000,0.045943,0,NaN,
16,2+1-,equi_rot_s2.0_eta0.5,[+1+1-1],[1 1 1],4.0000,0.5000,2.0000,0.0000,50.0,1.0e-03,Failure,2391,2.3900,8.611891,false,2.675132,0.041466,0,NaN,
17,2+1-,equi_rot_s3.0_eta0.5,[+1+1-1],[1 1 1],1.0000,0.5000,3.0000,0.0000,50.0,1.0e-03,Failure,3298,3.2970,367.495257,false,3.105121,0.054498,0,NaN,
18,2+1-,equi_rot_s3.0_eta0.5,[+1+1-1],[1 1 1],4.0000,0.5000,3.0000,0.0000,50.0,1.0e-03,Failure,4464,4.4630,255.769828,false,4.059520,0.025344,0,NaN,
19,2+1-,equi_rot_s1.0_eta0.75,[+1+1-1],[1 1 1],1.0000,0.7500,1.0000,0.0000,50.0,1.0e-03,Failure,463,0.4620,623.927435,false,1.000000,0.115316,0,NaN,
20,2+1-,equi_rot_s1.0_eta0.75,[+1+1-1],[1 1 1],4.0000,0.7500,1.0000,0.0000,50.0,1.0e-03,Failure,899,0.8980,86.700666,false,1.495586,0.039251,0,NaN,
21,2+1-,equi_rot_s2.0_eta0.75,[+1+1-1],[1 1 1],1.0000,0.7500,2.0000,0.0000,50.0,1.0e-03,Success,50001,50.0000,0.906928,false,32.998010,0.138485,0,NaN,
22,2+1-,equi_rot_s2.0_eta0.75,[+1+1-1],[1 1 1],4.0000,0.7500,2.0000,0.0000,50.0,1.0e-03,Failure,2632,2.6310,763.234506,false,3.082653,0.029325,0,NaN,
23,2+1-,equi_rot_s3.0_eta0.75,[+1+1-1],[1 1 1],1.0000,0.7500,3.0000,0.0000,50.0,1.0e-03,Success,50001,50.0000,1.518566,false,45.306772,0.141099,0,NaN,
24,2+1-,equi_rot_s3.0_eta0.75,[+1+1-1],[1 1 1],4.0000,0.7500,3.0000,0.0000,50.0,1.0e-03,Failure,4898,4.8970,658.346646,false,4.673836,0.022205,0,NaN,
