family,c,T,E,max_floquet,drift_pct,status,eigenvalue_types
circular_E-2.0_bif,4.500000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,4.600000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,4.700000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,4.800000,0.555360,-2.000000,1.000001,-1.000000,Computed,
circular_E-2.0_bif,4.900000,0.555360,-2.000000,1.000000,-1.000000,Computed,
circular_E-2.0_bif,5.000000,0.555360,-2.000000,1.000000,-1.000000,Computed,
new_orbit_search,1.000000,12.782500,-1.000000,-1.000000,-1.000000,Candidate,r0=0.3, L=0.2
new_orbit_search,1.000000,5.039500,-1.000000,-1.000000,-1.000000,Candidate,r0=0.5, L=0.2
new_orbit_search,1.000000,7.854000,-1.000000,-1.000000,-1.000000,Candidate,r0=0.5, L=0.5
new_orbit_search,1.000000,2.262000,-1.000000,-1.000000,-1.000000,Candidate,r0=0.8, L=0.2
new_orbit_search,1.000000,10.443500,-1.000000,-1.000000,-1.000000,Candidate,r0=0.8, L=0.5
new_orbit_search,1.000000,16.127000,-1.000000,-1.000000,-1.000000,Candidate,r0=1.0, L=0.5
new_orbit_search,2.000000,8.427000,-1.000000,-1.000000,-1.000000,Candidate,r0=0.3, L=0.2
new_orbit_search,2.000000,15.885000,-1.000000,-1.000000,-1.000000,Candidate,r0=0.5, L=0.2
new_orbit_search,2.000000,7.854000,-1.000000,-1.000000,-1.000000,Candidate,r0=0.5, L=0.5
new_orbit_search,2.000000,13.850000,-1.000000,-1.000000,-1.000000,Candidate,r0=0.8, L=0.2
new_orbit_search,2.000000,10.227500,-1.000000,-1.000000,-1.000000,Candidate,r0=0.8, L=0.5
new_orbit_search,2.000000,11.288500,-1.000000,-1.000000,-1.000000,Candidate,r0=1.0, L=0.2
new_orbit_search,2.000000,12.879500,-1.000000,-1.000000,-1.000000,Candidate,r0=1.0, L=0.5
new_orbit_search,5.000000,2.952000,-1.000000,-1.000000,-1.000000,Candidate,r0=0.3, L=0.2
new_orbit_search,5.000000,8.390000,-1.000000,-1.000000,-1.000000,Candidate,r0=0.5, L=0.2
new_orbit_search,5.000000,7.854000,-1.000000,-1.000000,-1.000000,Candidate,r0=0.5, L=0.5
new_orbit_search,5.000000,2.039000,-1.000000,-1.000000,-1.000000,Candidate,r0=0.8, L=0.5
new_orbit_search,10.000000,14.867000,-1.000000,-1.000000,-1.000000,Candidate,r0=0.3, L=0.2
new_orbit_search,10.000000,3.770500,-1.000000,-1.000000,-1.000000,Candidate,r0=0.3, L=0.5
new_orbit_search,10.000000,6.087500,-1.000000,-1.000000,-1.000000,Candidate,r0=0.5, L=0.2
new_orbit_search,10.000000,7.854000,-1.000000,-1.000000,-1.000000,Candidate,r0=0.5, L=0.5
new_orbit_search,10.000000,11.872500,-1.000000,-1.000000,-1.000000,Candidate,r0=0.8, L=0.2
new_orbit_search,10.000000,1.991500,-1.000000,-1.000000,-1.000000,Candidate,r0=0.8, L=0.5
new_orbit_search,10.000000,16.398000,-1.000000,-1.000000,-1.000000,Candidate,r0=1.0, L=0.2
new_orbit_search,10.000000,2.456000,-1.000000,-1.000000,-1.000000,Candidate,r0=1.0, L=0.5
new_orbit_search,10.000000,3.907500,-1.000000,-1.000000,-1.000000,Candidate,r0=1.5, L=0.5
new_orbit_search,10.000000,5.678500,-1.000000,-1.000000,-1.000000,Candidate,r0=2.0, L=0.5
